,Late Complexity,Intermediate Complexity,Early Complexity
Africa,Ghanaian Coast,Niger Inland Delta,Upper Egypt
Europe,Iceland,Paris Basin,Latium
Central Eurasia,Lena River Valley,Orkhon Valley,Sogdiana
Southwest Asia,Yemeni Coastal Plain,Konya Plain,Susiana
South Asia,Garo Hills,Deccan,Kachi Plain
Southeast Asia,Kapuasi Basin,Central Java,Cambodian Basin
East Asia,Southern China Hills,Kansai,Middle Yellow River Valley
North America,Finger Lakes,Cahokia,Valley of Oaxaca
South America,Lowland Andes,North Colombia,Cuzco
Ocenaia-Australia,Oro PNG,Chuuk Islands,Big Island Hawaii
