user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Todd J Zola,"wilmington,nc","Entertainer/Influencer
https://t.co/hv4X46EP40",2009-09-07 21:54:11,494,173,3696,False,2020-07-25 12:16:37,I hope everyone is watching how news or how they report death. Not everyone is dying from #COVID19. They need reeva… https://t.co/IvCsgzsUTB,['COVID19'],Twitter for Android,False
Dr. India White,Fl,"I'm from Fl. I am a Gates and McKnight fellow, a National Edu. Trainer, motivational speaker and author. I'm God fearing with compliments from Rubio and Duncan!",2011-06-21 18:02:16,1544,2225,5490,False,2020-07-25 12:09:29,"Here you go Twitter! It's great to be a Florida Gator! Grateful to the Lord and my TRIBE! 1st generation student, n… https://t.co/4CFvbKCRLh",,Twitter for Android,False
JasonAndJessica,NC,Married with children and care about their future! Follow if you prefer common sense. #returntonormal,2016-03-06 00:08:38,5,80,135,False,2020-07-25 12:08:59,If anyone still thinks #teachers are concerned about #COVID19 and that’s why they don’t want to go back to school is sadly misinformed.....,"['teachers', 'COVID19']",Twitter for iPhone,False
Billy Holiday,nj,,2010-10-31 11:34:11,830,724,73472,False,2020-07-25 11:54:54,SIGN @MOMSRISING'S LETTER to your Senator urging them to #savechildcare and extend and expand #paidleaveforall resp… https://t.co/K5M07UTrv8,"['savechildcare', 'paidleaveforall']",Twitter Web App,False
Jill,Mi,,2009-03-29 15:02:44,50,239,1551,False,2020-07-25 11:53:22,@realDonaldTrump So @GOP Cancels their convention in Florida and continues to tell Floridians to send their kids to… https://t.co/CvxRuUTx9R,,Twitter for iPhone,False
Billy Holiday,nj,,2010-10-31 11:34:11,830,724,73472,False,2020-07-25 11:52:20,"Congress needs to stand up for our families during #COVID19. Text ""SaveCC"" to 747464 your Senator and tell them to… https://t.co/C9xbIv27ff",['COVID19'],Twitter Web App,False
Jill,Mi,,2009-03-29 15:02:44,50,239,1551,False,2020-07-25 11:47:51,@GovMikeHuckabee @realDonaldTrump So @GOP Cancels their convention in Florida and continues to tell Floridians to s… https://t.co/QzMYME6ebU,,Twitter for iPhone,False
VickieM_WV,WV,"Retired, solo traveler, photographer, writer, friend of wildlife, a blue dot in a brick red state. Trump is a just a grifter.  #Resist #TeamPelosi",2019-03-20 00:39:57,1113,2604,11610,False,2020-07-25 11:36:08,"Damn that John Roberts trying to help save lives. People have the right to go to church, sit close to someone, sing… https://t.co/Yn6UZ31kq2",,Twitter Web App,False
Julio Salado,"Boston,MA and Malden,MA",Voted #2 Boston's BEST Personal Trainer|NSCA-RCPT*D|USAW|USAPL |Author|Educator|Weight Loss|Post Rehab| Tai Chi |@JSaladoRE |EMT in Training|Services in Link👇,2012-03-12 12:32:37,2043,1240,6975,False,2020-07-25 11:35:34,"What type of #Facemask should be used for #workouts in the #gym? My specialty is #fitness, NOT #Epidemiology! Exhal… https://t.co/orWrlhD8kT","['Facemask', 'workouts', 'gym', 'fitness', 'Epidemiology']",Twitter for iPhone,False
Trish 🎄,NY,"Love art, traveling, photography, Christmas, Paris, my dog, NY Rangers and all things Josh! #Grobanite #GreatCometfanforlife ☄️",2011-02-19 23:43:50,1452,1860,153210,False,2020-07-25 11:20:55,"@IamMiMorena #COVID19 may have slowed your package as it has effected everything else all forms of  transportation,… https://t.co/gGXXQRdRd6",['COVID19'],Twitter for Android,False
Glenn Robbins,NJ,Superintendent of @Brigschools Husband&Father. @AASA National Governing Board Member @NASSP National Digital Principal of the Year. @SETDA Student Voice Award.,2010-06-09 22:46:05,20750,13687,62711,False,2020-07-25 11:04:28,Listen to the most recent episode of our podcast: What's Next with Diana Laufenberg @dlaufenberg… https://t.co/OVlvw9B2D2,,Twitter for iPhone,False
Bernardo👁,"Houston,TX","Photographer 🇲🇽/🇺🇸 | Tryna find a balance, reachin' from my equilibrium ✊🏼",2014-06-16 01:59:21,215,228,13061,False,2020-07-25 09:21:03,Y’all tweaking for traveling🤦🏻‍♂️😂 This shot no where from being over smh #COVID19,['COVID19'],Twitter for iPhone,False
Apri|§ays£egg{}My£eg[],GA,There is a great deal of poetry and fine sentiment in a chest of tea. ☕ ~Ralph Waldo Emerson~,2014-07-22 19:01:08,119,1178,1885,False,2020-07-25 09:01:47,"Please Stop Telling People Who Are at High Risk For COVID-19 to ""Just Stay Home""  #covid19  #stayhome #wearamask  v… https://t.co/4sWy2Xt6P8","['covid19', 'stayhome', 'wearamask']",Twitter Web App,False
Sean Spellman,"Pine Hill,NJ","SEAN from PINE HILL (NFL)..#GIANTS..(MLB)..#PHILLIES..(NHL) #FLYERS..(NBA) #SIXERS..(CBB) #DUKE .#HEEL of Twitter #HEELLIFE   called a ""Nob"" by @jasonmyrt  (W)",2011-03-23 17:36:05,756,2546,1165,False,2020-07-25 06:27:59,@KingJames  was cool to see you throw chalk in air before game. Bc obviously your hands were dirty and you threw po… https://t.co/N3uLTyke5O,,Twitter Web App,False
Erica,NJ,,2014-12-08 11:44:16,178,96,5101,False,2020-07-25 06:24:03,The fact that the care act will expire and people will be put out their homes because they can’t pay rent. Is insan… https://t.co/Ux12Zud4HG,,Twitter Web App,False
photoframd,NY,"just a photoframd world of photoshop, photography, Canon R5 & 7D2 DLSRs, Android and NYC life. More on my blog ;)",2009-01-14 19:39:12,15142,15144,5101,False,2020-07-25 05:46:51,US Supreme Court denies Nevada church's appeal of virus rule #COVID19 #coronavirus https://t.co/WFc3DGQIhL via @YahooNews,"['COVID19', 'coronavirus']",Twitter for Android,False
Scott McNutt,"Memphis,TN",About yourself in fewer than 160 characters. Why?,2009-05-16 03:31:21,112,663,1700,False,2020-07-25 05:46:22,"#Trump says #COVID19 - which has killed 140,000 Americans - is a 'downer' while bragging about being in 'so many ra… https://t.co/agNBILQiIB","['Trump', 'COVID19']",Twitter for Android,False
Tam of Antifa ⚖️🇺🇸🏳️‍🌈#TestTraceIsolate 🦠😷🏨,TX,"We do not see things as they are, we see them as we are - Anais Nin",2010-09-29 23:16:56,19479,8088,501778,False,2020-07-25 05:35:41,@Baseballheadguy @dallasguy87 @Eleven_Films @donwinslow @JoeBiden @SenSanders @SenWarren Same with #COVID19 right?… https://t.co/kaLyxPyWbk,['COVID19'],Twitter for iPad,False
Dan Brother,NY,NYS Blues Hall of Fame Inductees! Roots-rock Soul-funk extravanganza!,2010-01-24 18:20:01,4160,4470,254,False,2020-07-25 05:17:17,#sangin that @MarcBroussard joint with my homies! First show since #COVID19 It’s a strange way to live; a strange w… https://t.co/qpyeMEby6R,"['sangin', 'COVID19']",Twitter for iPhone,False
the hyper-conformity of pseudo-conservative revolt,LA,I'm not procrastinating I'm intermittent dopamine fasting,2015-04-04 23:55:44,6,0,0,False,2020-07-25 05:12:25,"74k new cases
1,130 new deaths
#COVID19 https://t.co/dmasurSq2L",['COVID19'],Twitter Web App,False
Event Horizon 浩雲,DC,Everybody gangsta until the Gov descend upon you. Former Security Surveillance FAE - recently terminated. Thank you America.,2009-05-30 03:32:56,1378,552,15016,False,2020-07-25 04:48:39,"Delhi, #India - A 14 year-old female #Covid19 patient was raped at a local medical center by two #Indian men who re… https://t.co/mcnOx82qMY","['India', 'Covid19', 'Indian']",Twitter Web App,False
Susan W. Cochran,"Edgewater,MD","Activist, educator, environmentalist.",2012-06-30 14:00:36,57,197,35,False,2020-07-25 04:27:37,We want to #VoteByMail for safety reasons and want a #ballot mailed to all of us automatically. Let's tell… https://t.co/xMTbO8Cta7,"['VoteByMail', 'ballot']",Twitter Web App,False
Paramendra Kumar Bhagat,NY,Entrepreneur / Digital Activist https://t.co/EFSNyVaqF7 https://t.co/EDATQSfeBe,2009-01-25 18:32:43,34744,38166,2895,False,2020-07-25 04:25:51,#Coronavirus News (191) https://t.co/s03cYdnnZv #africa #china #covid19 #pandemic,"['Coronavirus', 'africa', 'china', 'covid19', 'pandemic']",Google,False
ThaChocolateGod,"Long beach,Ca",GROWN ASS MAN! Whats understood aint got to be said!,2009-06-14 22:21:34,234,1352,568,False,2020-07-25 03:32:15,chilleefuego as always my guy it’s been all love since day one and I appreciate you for choosing me and my brand fa… https://t.co/jbFPKjpgoY,,Instagram,False
StarFire#MSforward🌠#WhenWeAllVote,CA,"@DW4USA #BidenLandslide  
@whenweallvote #BLM #CloseTheCamps #ParisClimateAction #BeTheChangeUSA
#HOPE #Sanity #MississippiBlue
#MSforward",2019-10-30 15:57:55,1282,1766,36022,False,2020-07-25 02:18:31,"*SIGNED* ⚡️

#MSforward 
#Covid19 

Please Sign. Took 1 Second! https://t.co/9uOrVT1hvA","['MSforward', 'Covid19']",Twitter Web App,False
Ed Allen,PA,"Catholic educator. I teach kids.  I am a teacher, musician, Dad. and Granddad. #appleteacher #iteachmath #music #cohsteach #pbl #curious",2008-09-30 17:18:06,1586,1585,5949,False,2020-07-25 01:35:48,Posted this on April 30th.  Still applies. #covid19 #edchat #cohsteach https://t.co/GxBpwVIgM2,"['covid19', 'edchat', 'cohsteach']",Twitter Web App,False
ᏢᎥA ™,NY,Proud American🇺🇸entrepreneur. pragmatic. humor. art. movies. philatelist. 3rd gen American. contrarian. praesidium libertatis.,2008-11-25 18:54:53,476,1145,131318,False,2020-07-25 01:32:45,I read today that the government updated JFK and MLK deaths  to #COVID19 #Covid_19,"['COVID19', 'Covid_19']",Twitter for iPhone,False
disabwolf,"Greater boston,ma","Aynonoumus Boston native on the autism spectrum with a love for life liberty, Boston sports and all wrestling!",2013-01-10 23:15:48,178,476,2966,False,2020-07-25 01:00:14,#openingday2020 it’s so good to have my @RedSox back and kicking ass!! #COVID19 god I missed sports!!,"['openingday2020', 'COVID19']",Twitter for iPhone,False
KANSAS/SEATTLE,"SEATTLE,WA","BORN IN KANSAS-RAISED ON A  NW  RANCH ,SEEN 20 NATIONS,CATERPILLAR TECH.,EET-, TRAINED USA COMBAT SOLDIERS,HORSES&DOGS- LOVE LIFE-JESUS IS MY LORD",2013-01-08 02:57:00,29416,29375,74495,False,2020-07-25 00:22:25,"#Coronavirus #Update (Live): 
15,930,021 #Cases, 
              641,842 #Deaths,
 9,715,847 #Recovered… https://t.co/A31XDq0993","['Coronavirus', 'Update', 'Cases', 'Deaths', 'Recovered']",Twitter Web App,False
Randall Judt,DC,@usarmy Veteran. An international man of mystery and random wiki facts. Comments are my own.,2009-04-01 00:19:04,520,1168,100368,False,2020-07-25 00:06:02,This does not bode well for college football anywhere this Fall if an entire team (in this case Michigan State) has… https://t.co/4k2i1UKRdA,,Twitter for iPhone,False
ShowLow,"las vegas ,nv","Life is Not a Game, It's Just Structured Like one.",2009-11-27 05:58:19,373,1887,3813,False,2020-07-25 00:04:53,"RIP Eddie...wear your mask 😷   https://t.co/KLaHv1wuCW
#COVID19 #rip #lilhomie","['COVID19', 'rip', 'lilhomie']",Twitter for Android,False
syrilGee,"San Francisco,CA","No one famous, don’t want to be. Just want to enjoy Life. Be Kind, Be Thankful. ✌🏼 Use your signals when changing lanes or making a turn. Seriously.",2009-06-05 07:44:50,49,233,392,False,2020-07-24 23:52:46,Reminder:THANK YOU to all #EssentialWorkers They’re the ones who kept our society together while we struggled to ma… https://t.co/VX6tIvO8Js,['EssentialWorkers'],Twitter for iPhone,False
Jay Darling 🏳️‍🌈🏴🖖,"Flavortown,OH/Louisville,KY",#DemilitarizethePolice #InvestInCommunityPrograms #BlackLivesMatter #AbolishTheElectoralCollege Don’t forget that your voice matters. Make sure it’s heard #Vote,2017-04-11 20:42:54,26,251,8902,False,2020-07-26 06:28:33,Got pissed and kind of went on a rant. Sick of seeing so much misinformation and the bullshit people are spouting.… https://t.co/vjcayc0GET,,Twitter for iPhone,False
"andi | Convict Trump, Barr. Protect Fauci.",TX,"Dogs, #ML, AI, sunny days. #TeamBeto #Scholten4Iowa #DougJones. IAHawkeye ➡️ #TexasResistance. Beto Senate Yard Sign Gallery: https://t.co/2a8Zmx6i7y",2018-09-30 02:29:16,6724,6996,31636,False,2020-07-26 06:18:16,@SkidonenkoForTX @stateoflynn How much is Chip paying his canvassers?  And does he give them health insurance and l… https://t.co/Lw0uh6F9fG,,Twitter for iPhone,False
"andi | Convict Trump, Barr. Protect Fauci.",TX,"Dogs, #ML, AI, sunny days. #TeamBeto #Scholten4Iowa #DougJones. IAHawkeye ➡️ #TexasResistance. Beto Senate Yard Sign Gallery: https://t.co/2a8Zmx6i7y",2018-09-30 02:29:16,6724,6996,31636,False,2020-07-26 06:05:50,@tedcruz #RussianRepublican and #TrumpCorruption co-conspirator still only tweets partisan bs while a Texan dies ev… https://t.co/UF8UmucPvG,"['RussianRepublican', 'TrumpCorruption']",Twitter for iPhone,False
smtraderCA,CA,"Stocks, options & futures trader.",2013-12-25 03:01:39,925,42,972,False,2020-07-26 05:59:37,"Be careful what you wish for,  Hong Kong protesters.  You might not want what you wish for..the racist #DUMBO and h… https://t.co/6kUoe9NfnC",['DUMBO'],Twitter for iPad,False
arda,Fl,17,2016-01-27 13:31:02,55,108,352,False,2020-07-26 05:37:34,Can’t wait to see coronavirus cases rise because of schools reopening...  #COVID19 #schoolsreopening https://t.co/5rVjPxdKfB,"['COVID19', 'schoolsreopening']",Twitter for iPhone,False
Charlotte/Kidlings20,PA,"Mom of 4, 1 w/ Autism. I'm told I'm a great cook, wife and mom. I pray so.",2009-07-28 17:02:43,23,142,728,False,2020-07-26 05:35:56,PSA: your health is NOT my responsibility. And anyone who reports businesses because of people not wearing masks ar… https://t.co/A48BFZZMOt,,Twitter for iPhone,False
Marie Allegro,NY,"Fitness/figure/bikini/physique competitor coach,
Certified TPI instructor,covid19 survivor",2013-01-27 03:14:28,213,272,199,False,2020-07-26 03:35:57,This isnt going 2 b easy 4 me 2 post. I'm going 2 b as transparent as possible in hopes this may help another. As m… https://t.co/WJuZCmvbtn,,Instagram,False
WavitoBragante215,"Philadelphia,Pa",Happy to be escaping POVERTY..Word Up! #REALNIGGA AVID BATTLE RAP FAN. FATHER. BROTHER. LOYAL FRIEND,2012-07-02 03:53:17,80,626,86,False,2020-07-26 03:03:59,Darren Till Just Coughed Out Whitaker 😂😂 #Covid19 #UFCFightIsland3 #Tillvswhitaker #Ufc,"['Covid19', 'UFCFightIsland3', 'Tillvswhitaker', 'Ufc']",Twitter for iPhone,False
Mark Barbone,NM,Proud single Father to my great Son / Native American / Graphic Design / Photography / Percussions / Life,2010-05-28 13:59:31,25,252,1014,False,2020-07-26 02:58:25,"Be safe, mask up! 😷🦠 #covid19 #navajonation #weekendlockdown #maskup #life #yeah https://t.co/3WxwtM95F7","['covid19', 'navajonation', 'weekendlockdown', 'maskup', 'life', 'yeah']",Twitter for iPhone,False
KANSAS/SEATTLE,"SEATTLE,WA","BORN IN KANSAS-RAISED ON A  NW  RANCH ,SEEN 20 NATIONS,CATERPILLAR TECH.,EET-, TRAINED USA COMBAT SOLDIERS,HORSES&DOGS- LOVE LIFE-JESUS IS MY LORD",2013-01-08 02:57:00,29417,29370,74554,False,2020-07-26 02:36:38,"#Coronavirus #Update (Live): 
16,200,326 #Cases, 
             648,440 #Deaths,
 9,913,072 #Recovered 

from;… https://t.co/Pi1kciAXHd","['Coronavirus', 'Update', 'Cases', 'Deaths', 'Recovered']",Twitter Web App,False
PR common sense,ny,small business owner married mother of 2 NYer Democrat/ defender of all!!,2019-05-28 02:24:23,103,740,30307,False,2020-07-26 02:34:54,@CareMountMed I am now 13 days waiting for Covid results.  Why should I have to pay for a test that is now irreleva… https://t.co/XcVTcWzeCw,,Twitter for iPad,False
🐝Laurie🐝,"Cape Cod,MA","Mom of 5 & Nana to 6, RN, Gwen Stefani devotee, Mask maker/donor/wearer, Reiki ll, #Resister #VoteBlue 🌊
Vote the incompetent jerk out before he kills us all!",2012-03-04 06:33:11,2258,3029,112136,False,2020-07-26 02:32:29,"@sueahearn @oliverdarcy @ericbolling Trump happened to America.
And he brought in his grifter family, corrupt croni… https://t.co/mbuGMfNP8B",,Twitter for Android,False
Kenneth Zeigler,"Johnston,RI",we all need to Back the Blue to show that their lives matter also backing veteran groups being a disabled one myself also WorldofWarcraft gamer since day 1,2013-08-12 18:59:53,137,157,17572,False,2020-07-26 02:11:47,"#COVID19 stop our date nights but my wife and I started them again, great to see so many people dining out https://t.co/arQlqfxpcB",['COVID19'],Twitter for iPhone,False
2011teacher,CA,You can't accept or normalize bigotry.  Not even from a president. #StandUpFightBack Organize now! #TheResistance #NotMyPresident,2011-03-01 05:57:36,1247,1474,12358,False,2020-07-27 05:40:55,"These are some of the 91,000 people who've died since the US reopened #covid19 #coronavirus #TrumpFail  https://t.co/Bw8aoVKfhj","['covid19', 'coronavirus', 'TrumpFail']",Twitter for iPhone,False
